NC_015593-1	SPCH001c01a_T1SS_1	376098	399509	T1SS	T1SS	NC_015593.1
NC_009668-1	OCAN001c02a_T1SS_2	1382585	1397826	T1SS	T1SS	NC_009668.1
NC_017549-1	PSAE006c01a_T1SS_2	2965476	2985513	T1SS	T1SS	NC_017549.1
NC_017549-1	PSAE006c01a_T1SS_3	4888576	4903044	T1SS	T1SS	NC_017549.1
NC_007413-1	ANVA001c01a_T1SS_3	1455200	1470687	T1SS	T1SS	NC_007413.1
NC_015376-1	BUGD001c02a_T1SS_1	53046	82469	T1SS	T1SS	NC_015376.1
NC_015572-1	MEME001c01a_T1SS_1	3583982	3601259	T1SS	T1SS	NC_015572.1
NC_011206-1	ACFE001c01a_T1SS_1	1799476	1813820	T1SS	T1SS	NC_011206.1
NC_021991-1	ACPA009c01a_T1SS_1	221482	236988	T1SS	T1SS	NC_021991.1
NC_012850-1	RHLE003c01a_T1SS_2	3222807	3237144	T1SS	T1SS	NC_012850.1
NC_019678-1	RI71001c01a_T1SS_3	3834163	3853035	T1SS	T1SS	NC_019678.1
NC_017501-1	NEME007c01a_T1SS_1	1863417	1879572	T1SS	T1SS	NC_017501.1
NC_016112-1	MEAA001c01a_T1SS_2	1070765	1108873	T1SS	T1SS	NC_016112.1
NC_006138-1	DEPS001c01a_T1SS_2	2394372	2426308	T1SS	T1SS	NC_006138.1
NC_013446-1	COTE002c01a_T1SS_1	3419958	3443033	T1SS	T1SS	NC_013446.1
NC_015580-1	NO1Y001c01a_T1SS_2	3480993	3498368	T1SS	T1SS	NC_015580.1
NC_010524-1	LECH001c01a_T1SS_2	2276302	2299149	T1SS	T1SS	NC_010524.1
NC_011369-1	RHLE002c01a_T1SS_1	246453	258544	T1SS	T1SS	NC_011369.1
NC_011369-1	RHLE002c01a_T1SS_3	4142174	4169476	T1SS	T1SS	NC_011369.1
NC_007761-1	RHET001c01a_T1SS_2	1436648	1458471	T1SS	T1SS	NC_007761.1
NC_019693-1	OSAC001c01a_T1SS_1	107219	129869	T1SS	T1SS	NC_019693.1
NC_021745-1	RASO006p01a_T1SS_2	1505324	1531199	T1SS	T1SS	NC_021745.1
NC_017632-1	ESCO038c01a_T1SS_1	4557198	4572710	T1SS	T1SS	NC_017632.1
NC_020908-1	OCAR001c01a_T1SS_1	148142	159116	T1SS	T1SS	NC_020908.1
NC_009879-1	RICA001c01a_T1SS_1	802834	815408	T1SS	T1SS	NC_009879.1
NC_014306-1	ERBI001c01a_T1SS_1	1991450	2004515	T1SS	T1SS	NC_014306.1
NC_006347-1	BAFR001c01a_T1SS_2	4606840	4624420	T1SS	T1SS	NC_006347.1
NC_016610-1	TAFO001c01a_T1SS_2	941323	955925	T1SS	T1SS	NC_016610.1
NC_013592-1	DIDA002c01a_T1SS_1	2325685	2346334	T1SS	T1SS	NC_013592.1
NC_021716-1	ALMA007c01a_T1SS_3	3833379	3846049	T1SS	T1SS	NC_021716.1
NC_005071-1	PRMA003c01a_T1SS_1	72948	88371	T1SS	T1SS	NC_005071.1
NC_005140-1	VIVU002c02a_T1SS_5	1824687	1841193	T1SS	T1SS	NC_005140.1
NC_012808-1	MEEX002c01a_T1SS_1	961698	980773	T1SS	T1SS	NC_012808.1
NC_019703-1	GE74001c01a_T1SS_1	2970106	2991991	T1SS	T1SS	NC_019703.1
NC_009488-1	ORTS002c01a_T1SS_1	285165	314559	T1SS	T1SS	NC_009488.1
NC_017450-1	FRNO001c01a_T1SS_1	819792	839547	T1SS	T1SS	NC_017450.1
NC_007948-1	POJS001c01a_T1SS_1	310241	330140	T1SS	T1SS	NC_007948.1
NC_010501-1	PSPU003c01a_T1SS_1	1534743	1553949	T1SS	T1SS	NC_010501.1
NC_015663-1	ENAE001c01a_T1SS_2	4351525	4363109	T1SS	T1SS	NC_015663.1
NC_018748-1	EMOL001c01a_T1SS_2	2239579	2265142	T1SS	T1SS	NC_018748.1
NC_017146-1	ACPA005c01a_T1SS_2	2642642	2662320	T1SS	T1SS	NC_017146.1
NC_014034-1	RHCA001c01a_T1SS_2	3589181	3601888	T1SS	T1SS	NC_014034.1
NC_014394-1	GACA001c01a_T1SS_1	1559446	1583152	T1SS	T1SS	NC_014394.1
NC_016614-1	VIEJ001c02a_T1SS_2	1674094	1697598	T1SS	T1SS	NC_016614.1
NC_020304-1	DESL001c01a_T1SS_1	467229	500457	T1SS	T1SS	NC_020304.1
NC_009656-1	PSAE003c01a_T1SS_3	3522209	3543125	T1SS	T1SS	NC_009656.1
NC_018106-1	KLOX002c01a_T1SS_1	420243	434339	T1SS	T1SS	NC_018106.1
NC_016642-1	PSFO001c01a_T1SS_5	4030906	4058665	T1SS	T1SS	NC_016642.1
